array_size	shellTime	quikcTime	selectionTime
205000	47	406	257403.125
206000	47	391	259920.5
207000	47	375	262450.125
208000	47	406	264992
209000	47	391	267546.125
210000	47	390	270112.5
211000	47	390	272691.125
212000	47	391	275282
213000	63	390	277885.125
214000	47	406	280500.5
215000	47	375	283128.125
216000	32	407	285768
217000	47	406	288420.125
218000	31	437	291084.5
219000	47	484	293761.125
220000	78	406	296450
221000	47	406	299151.125
222000	31	406	301864.5
223000	31	406	304590.125
224000	47	438	307328
225000	47	562	310078.125
226000	47	484	312840.5
227000	47	468	315615.125
228000	47	437	318402
229000	31	437	321201.125
230000	47	484	324012.5
231000	32	469	326836.125
232000	31	422	329672
233000	31	453	332520.125
234000	47	500	335380.5
235000	47	438	338253.125
236000	46	422	341138
237000	78	422	344035.125
238000	47	437	346944.5
239000	47	437	349866.125
240000	47	453	352800
241000	63	437	355746.125
242000	47	501	358704.5
243000	47	469	361675.125
244000	47	468	364658
245000	47	469	367653.125
246000	47	469	370660.5
247000	47	469	373680.125
248000	47	469	376712
249000	47	469	379756.125
250000	47	485	382812.5
251000	63	469	385881.125
252000	47	469	388962
253000	47	468	392055.125
254000	47	484	395160.5
255000	63	468	398278.125
256000	47	484	401408
257000	47	484	404550.125
258000	47	469	407704.5
259000	46	484	410871.125
260000	47	485	414050
261000	63	484	417241.125
262000	47	500	420444.5
263000	46	500	423660.125
264000	47	500	426888
265000	62	500	430128.125
266000	62	484	433380.5
267000	47	500	436645.125
268000	62	500	439922
269000	47	500	443211.125
270000	46	516	446512.5
271000	62	516	449826.125
272000	78	515	453152
273000	63	531	456490.125
274000	63	500	459840.5
275000	47	516	463203.125
276000	46	516	466578
277000	47	547	469965.125
278000	63	610	473364.5
279000	63	531	476776.125
280000	63	532	480200
281000	46	531	483636.125
282000	46	547	487084.5
283000	47	578	490545.125
284000	63	594	494018
285000	62	578	497503.125
286000	62	657	501000.5
287000	47	578	504510.125
288000	63	563	508032
289000	47	563	511566.125
290000	62	578	515112.5
291000	63	563	518671.125
292000	46	641	522242
293000	63	579	525825.125
294000	63	578	529420.5
295000	78	578	533028.125
296000	62	594	536648
297000	47	656	540280.125
298000	62	687	543924.5
299000	63	688	547581.125
300000	62	641	551250
301000	63	687	554931.125
302000	62	672	558624.5
303000	47	594	562330.125
304000	63	594	566048
305000	62	625	569778.125
306000	63	625	573520.5
307000	62	609	577275.125
308000	63	625	581042
309000	62	626	584821.125
310000	47	610	588612.5
311000	47	609	592416.125
312000	62	625	596232
313000	63	657	600060.125
314000	62	625	603900.5
315000	63	625	607753.125
316000	78	641	611618
317000	78	640	615495.125
318000	63	641	619384.5
319000	62	641	623286.125
320000	63	640	627200
321000	63	656	631126.125
322000	63	641	635064.5
323000	63	657	639015.125
324000	62	719	642978
325000	78	797	646953.125
326000	78	750	650940.5
327000	63	703	654940.125
328000	63	750	658952
329000	63	750	662976.125
330000	62	656	667012.5
331000	78	860	671061.125
332000	63	688	675122
333000	78	656	679195.125
334000	63	672	683280.5
335000	63	672	687378.125
336000	63	766	691488
337000	63	735	695610.125
338000	63	797	699744.5
339000	78	750	703891.125
340000	63	750	708050
341000	63	719	712221.125
